,,Arsenal,Everton,Fulham,Manchester City,Newcastle United,Queens Park Rangers,Reading,West Bromwich Albion,West Ham United,Wigan Athletic,Aston Villa,Chelsea,Liverpool,Manchester United,Norwich City,Southampton,Stoke City,Sunderland,Swansea City,Tottenham Hotspur
Arsenal vs Sunderland,avg_quites,99.951,,,,,,,,,,,,,,,,,115.089,,
Arsenal vs Swansea City,win%,55.7,,,,,,,,,,,,,,,,,,27.3,
Arsenal vs Swansea City,loss%,27.3,,,,,,,,,,,,,,,,,,55.7,
Arsenal vs Swansea City,tie%,17.0,,,,,,,,,,,,,,,,,,17.0,
Arsenal vs Swansea City,avg_goles,3.051,,,,,,,,,,,,,,,,,,2.208,
Arsenal vs Swansea City,avg_tiros,15.507,,,,,,,,,,,,,,,,,,12.57,
Arsenal vs Swansea City,avg_pases,286.505,,,,,,,,,,,,,,,,,,337.564,
Arsenal vs Swansea City,avg_quites,93.178,,,,,,,,,,,,,,,,,,91.273,
Arsenal vs Tottenham Hotspur,win%,46.9,,,,,,,,,,,,,,,,,,,36.3
Arsenal vs Tottenham Hotspur,loss%,36.3,,,,,,,,,,,,,,,,,,,46.9
Arsenal vs Tottenham Hotspur,tie%,16.8,,,,,,,,,,,,,,,,,,,16.8
Arsenal vs Tottenham Hotspur,avg_goles,3.283,,,,,,,,,,,,,,,,,,,3.0
Arsenal vs Tottenham Hotspur,avg_tiros,17.503,,,,,,,,,,,,,,,,,,,16.786
Arsenal vs Tottenham Hotspur,avg_pases,323.172,,,,,,,,,,,,,,,,,,,248.458
Arsenal vs Tottenham Hotspur,avg_quites,96.268,,,,,,,,,,,,,,,,,,,97.358
Everton vs Fulham,win%,,64.8,21.9,,,,,,,,,,,,,,,,,
Everton vs Fulham,loss%,,21.9,64.8,,,,,,,,,,,,,,,,,
Everton vs Fulham,tie%,,13.3,13.3,,,,,,,,,,,,,,,,,
Everton vs Fulham,avg_goles,,4.382,2.939,,,,,,,,,,,,,,,,,
Everton vs Fulham,avg_tiros,,20.605,12.928,,,,,,,,,,,,,,,,,
Everton vs Fulham,avg_pases,,257.264,287.486,,,,,,,,,,,,,,,,,
Everton vs Fulham,avg_quites,,113.709,101.488,,,,,,,,,,,,,,,,,
Everton vs Manchester City,win%,,37.3,,46.5,,,,,,,,,,,,,,,,
Everton vs Manchester City,loss%,,46.5,,37.3,,,,,,,,,,,,,,,,
Everton vs Manchester City,tie%,,16.2,,16.2,,,,,,,,,,,,,,,,
Everton vs Manchester City,avg_goles,,2.625,,2.975,,,,,,,,,,,,,,,,
Everton vs Manchester City,avg_tiros,,17.315,,17.505,,,,,,,,,,,,,,,,
Everton vs Manchester City,avg_pases,,270.517,,326.951,,,,,,,,,,,,,,,,
Everton vs Manchester City,avg_quites,,105.632,,78.672,,,,,,,,,,,,,,,,
Everton vs Newcastle United,win%,,83.8,,,6.1,,,,,,,,,,,,,,,
Everton vs Newcastle United,loss%,,6.1,,,83.8,,,,,,,,,,,,,,,
Everton vs Newcastle United,tie%,,10.100000000000001,,,10.100000000000001,,,,,,,,,,,,,,,
Everton vs Newcastle United,avg_goles,,3.473,,,0.906,,,,,,,,,,,,,,,
Everton vs Newcastle United,avg_tiros,,19.774,,,8.651,,,,,,,,,,,,,,,
Everton vs Newcastle United,avg_pases,,269.413,,,259.531,,,,,,,,,,,,,,,
Everton vs Newcastle United,avg_quites,,116.245,,,104.402,,,,,,,,,,,,,,,
Everton vs Queens Park Rangers,win%,,80.7,,,,7.3,,,,,,,,,,,,,,
Everton vs Queens Park Rangers,loss%,,7.3,,,,80.7,,,,,,,,,,,,,,
Everton vs Queens Park Rangers,tie%,,12.0,,,,12.0,,,,,,,,,,,,,,
Everton vs Queens Park Rangers,avg_goles,,3.015,,,,0.843,,,,,,,,,,,,,,
Everton vs Queens Park Rangers,avg_tiros,,17.684,,,,9.902,,,,,,,,,,,,,,
Everton vs Queens Park Rangers,avg_pases,,263.25,,,,244.281,,,,,,,,,,,,,,
Everton vs Queens Park Rangers,avg_quites,,103.307,,,,121.622,,,,,,,,,,,,,,
Everton vs Reading,win%,,63.4,,,,,21.4,,,,,,,,,,,,,
Everton vs Reading,loss%,,21.4,,,,,63.4,,,,,,,,,,,,,
